new unique backpack ! combines vintage with modern ! URL1283 via @USER415	ADJ NOUN NOUN PUNCT X NOUN ADP NOUN PUNCT X ADP X
@USER1094 * jumps down walking over to you singing * Why do you do what you do to me ? Yea ! Why wo n't you answer me answer me ! Yea !	NOUN PUNCT NOUN ADV VERB ADV ADP PRON VERB PUNCT ADV VERB PRON VERB PRON PRON VERB ADP PRON PUNCT INTJ PUNCT ADV AUX PART PRON VERB PRON VERB PRON PUNCT INTJ PUNCT
@USER1144 right back atcha bro :)	PROPN ADV ADV NOUN NOUN SYM
@USER1163 haha u wish ! Just wait for me to fins a cool name tht has darren + loewe in it lol ( everything sounds bad :( )	PROPN INTJ PRON VERB PUNCT ADV VERB ADP PRON PART VERB DET ADJ NOUN PRON AUX NOUN SYM NOUN ADP PRON INTJ PUNCT PRON VERB ADJ NOUN PUNCT
@USER1255 Not as bent as my finger ! It looks freaky !	NOUN PART ADP NOUN ADP PRON NOUN PUNCT PRON VERB NOUN PUNCT
@USER1286 @USER2183 nigga u quit to	PROPN VERB NOUN PRON VERB ADP
@USER1290 give him my love !	NOUN VERB PRON PRON NOUN PUNCT
@USER1369 @USER2166 Woooooooow	NOUN NOUN X
@USER1381 of course she is lol	NOUN ADP ADV PRON AUX INTJ
@USER1435 ha ! I 'm gon na go with yes	PROPN INTJ PUNCT PRON AUX VERB PART VERB ADP INTJ
@USER1439 I 'M on east coast and their on . do n't know how that works live in CA. ? WITWIAL	PROPN PRON AUX ADP NOUN NOUN CCONJ PRON ADP PUNCT AUX PART VERB ADV PRON VERB VERB ADP NOUN PUNCT X
@USER1480 china	NOUN PROPN
@USER1485 .. hey no shine .. lol jk .. how been bro ?	NOUN PUNCT INTJ DET NOUN PUNCT INTJ INTJ PUNCT ADV AUX NOUN PUNCT
@USER1493 Key and Jjong are together . >.>	NOUN NOUN CCONJ NOUN AUX ADV PUNCT X
@USER1558 yea ik , just for me hahaa	PROPN INTJ NOUN PUNCT ADV ADP PRON NOUN
@USER1602 @USER1512 I uploaded / uploading remaining albums . Muackszx	PROPN VERB PRON VERB PUNCT NOUN ADJ NOUN PUNCT X
@USER1612 He better !! We buy his stuff ! haha	PROPN PRON ADV PUNCT PRON VERB PRON NOUN PUNCT INTJ
@USER1651 with there boycotts and the way they betrayed the country in ww1 they were right in there assessment	NOUN ADP PRON NOUN CCONJ DET NOUN PRON VERB DET NOUN ADP NOUN PRON AUX ADV ADP PRON NOUN
@USER1676 . Have u meet norway yet ?? Lol	NOUN PUNCT VERB PRON VERB NOUN ADV PUNCT INTJ
@USER1696 hey girl you awake ?????? And I did thanks !	PROPN INTJ NOUN PRON NOUN NOUN CCONJ PRON VERB NOUN PUNCT
@USER1733 Thanks for the #FF !	NOUN NOUN ADP DET NOUN PUNCT
@USER1756 nerp ! Wish I could	PROPN NOUN PUNCT VERB PRON AUX
@USER1763 thanks :3	NOUN NOUN X
@USER1773 come bring me lunch !	NOUN VERB VERB PRON NOUN PUNCT
@USER1774 >_> ok	NOUN NOUN INTJ
@USER1820 we got ta test guh ! My teacher said she gne strt takin off points if we late on test dayz ....	PROPN PRON VERB PART NOUN NOUN PUNCT PRON NOUN VERB PRON VERB VERB VERB ADP NOUN SCONJ PRON ADJ ADP NOUN NOUN PUNCT
@USER1969 Go to sleep . lol	NOUN VERB PART VERB PUNCT INTJ
@USER2055 perhaps	NOUN NOUN
@USER2082 I 'm a big fan of yours and admire your work , follow me ? [ /35	PROPN PRON AUX DET ADJ NOUN ADP PRON CCONJ VERB PRON NOUN PUNCT VERB PRON PUNCT PUNCT X
@USER2201 @USER944 they had their fun , we hd ours ! ;) lmaooo	PROPN NOUN PRON VERB PRON NOUN PUNCT PRON VERB NOUN PUNCT SYM INTJ
@USER2243 noo ... Sostar !!!!	NOUN NOUN PUNCT NOUN PUNCT
@USER2257 All my loving I will send to you \u2665	VERB DET PRON VERB PRON AUX VERB ADP PRON SYM
@USER2294 thanks .	PROPN NOUN PUNCT
@USER2337 Talking points ? #RobFord has a new idea to bring to City of Toronto politics : saving money instead of wasting it . #voteto	NOUN VERB NOUN PUNCT NOUN VERB DET ADJ NOUN PART VERB ADP NOUN ADP NOUN NOUN PUNCT VERB NOUN ADV ADP NOUN PRON PUNCT X
@USER2503 Reportedly Testing All - Dorito Taco Shell URL204	NOUN NOUN NOUN DET PUNCT X X X X
@USER2583 I think I thought a ticket the other day - PayPal says Yes , Eventbrite 's never heard of me . Can you confirm success / fail status ?	PROPN PRON VERB PRON VERB DET NOUN DET ADJ NOUN PUNCT X VERB INTJ PUNCT PROPN PART ADV VERB ADP PRON PUNCT AUX PRON VERB NOUN PUNCT NOUN NOUN PUNCT
@USER2589 where are you	NOUN ADV AUX PRON
@USER2626 swag	NOUN NOUN
A woman dat wants me fa me .... dat s all I ask for .	DET NOUN PRON VERB PRON VERB PRON PUNCT PRON AUX DET PRON VERB ADP PUNCT
Amateur Radio \u2013 Hurricane Katrina interview and audio | Survival Kits URL49	ADJ NOUN PUNCT NOUN NOUN NOUN CCONJ NOUN SYM X X X
Ambitious young Italians are quitting their country in droves , leaving power in the hands of an elderly elite . URL111 #tsunami	NOUN ADJ NOUN AUX VERB PRON NOUN ADP NOUN PUNCT VERB NOUN ADP DET NOUN ADP DET NOUN NOUN PUNCT X X
Be ready for anything because anything goes with me . Check out URL79 #match #sex #real	AUX ADJ ADP PRON SCONJ PRON VERB ADP PRON PUNCT VERB ADP NOUN X X X
Bob and Larry are my new best friends at work ! URL197	NOUN CCONJ PROPN AUX PRON ADJ ADJ NOUN ADP NOUN PUNCT X
Check out Cooking How - To : Homemade Frisco Melts on Tales of a midwestern Housewife ! URL15	VERB ADP NOUN ADV PUNCT ADP PUNCT NOUN X X ADP NOUN ADP DET NOUN NOUN PUNCT X
Cut it out joey ... * talkin to myself *	VERB PRON ADP NOUN PUNCT PUNCT NOUN ADP PRON PUNCT
Deputy pulls over FL man , naked teen in backseat ... URL201 #fl #florida #oops #dumb #sex #dui #traffic #news #police	NOUN VERB ADP NOUN NOUN PUNCT ADJ NOUN ADP NOUN PUNCT X X X X X X X X X X
Did I burn down the joint ? I DO N'T THINK SO . I was makin ornaments out of fish hooks .	AUX PRON VERB ADP DET NOUN PUNCT PRON AUX AUX VERB ADV PUNCT PRON AUX VERB NOUN ADP ADP NOUN NOUN PUNCT
Does it feel like Summer to you ? It does in Myrtle Beach , South Carolina it s 85 degrees	AUX PRON VERB ADP NOUN ADP PRON PUNCT PRON VERB ADP NOUN NOUN PUNCT PROPN PROPN PRON AUX NOUN X
Excellent article about Intelligent Management founder Lepore inspired by Jewish philosophy to find business solutions URL48	NOUN NOUN ADP NOUN NOUN PROPN NOUN VERB ADP NOUN NOUN PART VERB NOUN NOUN X
Excited for rough cut screening of @USER2147 tonight . Then season premier of Friday Night Lights at the Man-sion . Yessirr .	NOUN ADP ADJ VERB NOUN ADP NOUN NOUN PUNCT ADV NOUN NOUN ADP PROPN NOUN NOUN ADP DET NOUN PUNCT X PUNCT
Facing difficulties in serving elder family member get assistance from respite care service and live life peacefully . URL88	ADJ NOUN ADP NOUN NOUN NOUN NOUN VERB NOUN ADP NOUN NOUN NOUN CCONJ ADJ NOUN NOUN PUNCT X
Figurative speech #Englishmajors help me out : \ Twenty sails came into the harbor \ is an example of _____________ ? What figurative type ?	NOUN NOUN NOUN VERB PRON ADP PUNCT PUNCT NOUN NOUN VERB ADP DET NOUN PUNCT AUX DET NOUN ADP NOUN PUNCT PRON NOUN NOUN PUNCT
Forgiveness can not be given for those who choose to use Comic Sans in a business web application . #ui #fail	NOUN AUX PART AUX VERB ADP PRON PRON NOUN PART VERB NOUN NOUN ADP DET NOUN NOUN NOUN PUNCT X X
Good Morning	ADJ NOUN
Gothtober #BLANKtober	NOUN NOUN
Great Gizmos Indoor Garden Green Pots ( Green ) \u00a3 13.94 [ SAVE \u00a3 6.05 ] >> URL13 #bargains #deals 10.27.10	ADJ NOUN NOUN NOUN PROPN NOUN PUNCT PROPN PUNCT SYM NOUN PUNCT X SYM NOUN PUNCT PUNCT X X X X
Guess Who \ American Woman \	VERB PRON PUNCT ADJ NOUN PUNCT
Guhhh deeeh you !	PROPN VERB PRON PUNCT
HIGHHHHHH @USER1784 :)	NOUN NOUN SYM
Had Fun , Now I 'm Omw To My Gma House For Her Birthday	PRON NOUN PUNCT ADV PRON AUX VERB ADP PRON NOUN NOUN ADP PRON NOUN
Happy Guys Finish Last - EmpowHER.com URL156 v\u00eda @USER1854	ADJ NOUN NOUN NOUN PUNCT X X X X
Happy Main Event Day ! GL to all who are playing on Day 1A . Action begins at 3 ET .	ADJ NOUN NOUN NOUN PUNCT NOUN ADP DET PRON AUX VERB ADP NOUN NOUN PUNCT X NOUN ADP NUM PROPN PUNCT
Have #PR pros noticed this like #HR pros have ? RT @USER885 : Is HR morphing into PR ? Read and comment : URL39	AUX NOUN NOUN VERB PRON ADP NOUN NOUN VERB PUNCT X X PUNCT AUX NOUN NOUN ADP NOUN PUNCT VERB CCONJ NOUN PUNCT X
Having lunch at lp with 2 great & funny people @USER2359 && @USER2214	ADV NOUN ADP NOUN ADP NUM ADJ CCONJ ADJ NOUN X X X
How to Find And Cultivate Your Passion	ADV PART VERB CCONJ VERB PRON NOUN
I 'd like to take this over , , what I 'm tryin' to say is you should be mine ..	PRON AUX VERB PART VERB PRON ADV PUNCT PUNCT PRON PRON AUX VERB PART VERB AUX PRON AUX AUX PRON PUNCT
I 'm at Mr. Mikes . URL8	PRON AUX ADP NOUN NOUN PUNCT X
I 'm at Scopa ( 109A Plaza St. , Healdsburg Ave. , Healdsburg ) . URL5	PRON AUX ADP NOUN PUNCT NOUN X X PUNCT NOUN NOUN PUNCT NOUN PUNCT PUNCT X
I ai n't cheat I played the hand I dealt !	PRON AUX PART VERB PRON VERB DET NOUN PRON NOUN PUNCT
I am in concurrence ... Lol RT @USER2558 : @USER923 ex then lol	PRON AUX ADP NOUN PUNCT INTJ X X PUNCT X X ADV INTJ
I call my dad and this dude is blasting music . I ca nt understand him and he keeps saying \ what ? \ . Does n't that mean turn down the music ? =_=	PRON VERB PRON NOUN CCONJ DET NOUN AUX NOUN NOUN PUNCT PRON AUX PART VERB PRON CCONJ PRON VERB VERB PUNCT PRON PUNCT PUNCT PUNCT AUX PART PRON VERB VERB ADP DET NOUN PUNCT X
I do n't mean to stay awake at this hour . But that is what the poorest of all network would do you when you try to download !	PRON AUX PART VERB PART VERB NOUN ADP DET NOUN PUNCT CCONJ PRON AUX PRON DET NOUN ADP DET NOUN AUX VERB PRON ADV PRON VERB ADP NOUN PUNCT
I do n't see how a pumpkin patch can be more sincere than this one	PRON AUX PART VERB ADV DET NOUN NOUN AUX AUX ADJ NOUN ADP DET NUM
I do n't want any of these people in my house right now , do n't have anything to talk about , going to bed	PRON AUX PART VERB DET ADP DET NOUN ADP PRON NOUN ADV ADV PUNCT AUX PART VERB PRON PART VERB ADP PUNCT VERB ADP NOUN
I forgot just how good Molson Golden truly is ...... Thanks TIm O	PRON VERB ADV ADV ADJ NOUN NOUN ADV AUX ADJ NOUN X X
I hate how I am sometimes , it really sucks and I over think .	PRON VERB ADV PRON AUX ADV PUNCT PRON ADV NOUN CCONJ PRON ADV VERB PUNCT
I made $ 300 . That is on top of the $ 550 I 've made earlier on this trip . Not bad if I do say so myself .	PRON VERB SYM NUM PUNCT PRON AUX ADP NOUN ADP DET SYM NOUN PRON AUX VERB VERB ADP DET NOUN PUNCT ADV ADJ SCONJ PRON AUX VERB ADV PRON PUNCT
I posted 11 photos on Facebook in the album \ October 26 , 2010 \ URL67	PRON VERB NUM NOUN ADP PROPN ADP DET NOUN PUNCT PROPN NUM PUNCT NUM PUNCT X
I think I do +_O \ you 're sick \ RT @USER878 : Lmao u do n even know what that means RT @USER862 : Lol nawe lol RT	PRON VERB PRON AUX NOUN PUNCT PRON AUX ADJ PUNCT X X PUNCT INTJ PRON VERB CCONJ ADV VERB PRON PRON VERB X X PUNCT INTJ X INTJ X
I think jawn was tryna be smart talk'n bout da baul little do she know I d nt give two shits about none of these Cheyney boy 's .	PRON VERB NOUN AUX VERB AUX ADJ NOUN ADP DET NOUN ADJ AUX PRON VERB PRON VERB PART VERB NUM NOUN ADP NOUN ADP DET NOUN NOUN PART PUNCT
I wan na do something tonight .	PRON VERB PART VERB PRON NOUN PUNCT
I want Brazilian food	PRON VERB VERB NOUN
If you can see only one Darfur documentary this year , I recommend The Devil Came on Horseback . URL2	SCONJ PRON AUX VERB ADV NUM NOUN NOUN DET NOUN PUNCT PRON VERB DET NOUN VERB ADP NOUN PUNCT X
It 's raining !! \ue330\ue04b	PRON AUX VERB PUNCT X
It s the little things that strengthen my tiny wings .	PRON AUX DET ADJ NOUN PRON VERB PRON ADJ NOUN PUNCT
Know the Professionals , Information and facts on Cosmetic Dentist Procedures and Treatments : Anybody unfamiliar ... URL50	VERB DET NOUN PUNCT NOUN CCONJ NOUN ADP NOUN X X CCONJ NOUN PUNCT PRON NOUN PUNCT X
Lol welcome to Twitter @USER2290	INTJ NOUN ADP PROPN X
Lorex LW2003 LIVE snap Video Baby Monitor ( White ) : Get The Lowest Prices On NEW Lorex LW2003 LIVE snap Video Bab ... URL41	ADJ NOUN PROPN NOUN NOUN NOUN NOUN PUNCT ADJ PUNCT PUNCT VERB DET NOUN NOUN ADP ADJ NOUN X PROPN NOUN NOUN NOUN PUNCT X
MATCHES YA FACE SO YOU COOL . RT @USER1964 : @USER127 it s growing but it s at this ugly stage :(	PROPN NOUN NOUN ADV PRON ADJ PUNCT X X PUNCT VERB PRON AUX VERB CCONJ PRON AUX ADP DET ADJ NOUN SYM
Me too , me too , me too RT @USER1524 @USER2374 i hope u come i hope u come i hope u come	PRON ADV PUNCT PRON ADV PUNCT PRON ADV X X X PRON VERB PRON VERB PRON VERB PRON VERB PRON VERB PRON VERB
My book trailer - WORST SINGING EVER ! YAY ! : URL147	PRON NOUN NOUN PUNCT ADJ NOUN NOUN PUNCT X PUNCT PUNCT X
My friends category is odd again -.-	PRON NOUN NOUN AUX ADJ ADV NOUN
New FC Menu Utility 2.0 #apple URL138	ADJ NOUN NOUN X NUM X X
New NC Highway Signs Welcome Motorists To \ Most Military Friendly State \ : New signs going up on the major highways ... URL37	ADJ PROPN NOUN NOUN NOUN NOUN PART PUNCT ADJ NOUN ADJ NOUN PUNCT PUNCT ADJ NOUN VERB ADP ADP DET ADJ NOUN PUNCT X
Noo it s not cuss you have swag andd you wo nt look dumb ! @USER2646 !!	VERB PRON AUX PART VERB PRON AUX NOUN NOUN PRON AUX PART VERB ADJ PUNCT NOUN PUNCT
Northrop Grumman 3Q profit rises , boosts forecast ( AP ) : AP - Defense contractor Northrop Grumman Corp. say ... URL24	PROPN NOUN NOUN NOUN NOUN PUNCT NOUN NOUN PUNCT PROPN PUNCT PUNCT PROPN PUNCT NOUN X X X X VERB PUNCT X
Not too bad for missing two labs before that !	ADV ADV ADJ ADP NOUN NUM NOUN ADP PRON PUNCT
On eve of UFC debut , James Toney learned of IRS lien , fight purse withheld URL177	ADP NOUN ADP NOUN NOUN PUNCT PROPN PROPN VERB ADP PROPN NOUN PUNCT VERB X X X
Oo yeaa ii hear thunda ! Rainnn kum onnnnnn	PROPN NOUN AUX VERB NOUN PUNCT X X X
Pain is pleasure	NOUN AUX NOUN
People in school thought my shoes were so sick today . alala . Robert wanted to take them :)) and Jack and Craig tried to wear it . fun day .	NOUN ADP NOUN VERB PRON NOUN AUX ADV ADJ NOUN PUNCT X PUNCT X VERB PART VERB PRON NOUN CCONJ PROPN CCONJ PROPN VERB PART VERB PRON PUNCT NOUN NOUN PUNCT
Phoooonneeeeeeeeee with my wife !	VERB ADP PRON NOUN PUNCT
Pretty simple actually . - The DataContext will tunnel down to controls below it in the tree . - The ListBox ... URL31 #WPF #2010	ADV ADJ ADV PUNCT PUNCT DET NOUN AUX VERB ADV PART NOUN ADP PRON ADP DET NOUN PUNCT PUNCT DET NOUN PUNCT X X X
Public and private jobs | Angry Bear : The wife and I used to work retail for the California State Parks . If our pa ... URL18	NOUN CCONJ ADJ NOUN SYM X X PUNCT DET NOUN CCONJ PRON VERB PART VERB ADJ ADP DET PROPN PROPN PROPN PUNCT SCONJ PRON NOUN PUNCT X
Q : So , if I may ask , how would we \ meet u ... A : Lol . I have no clue and yes I would , i ... : URL210	NOUN PUNCT ADV PUNCT SCONJ PRON AUX VERB PUNCT ADV AUX PRON PUNCT VERB PRON PUNCT DET PUNCT INTJ PUNCT PRON VERB DET NOUN CCONJ INTJ PRON AUX PUNCT PRON PUNCT PUNCT X
RT @USER93 : @USER1691 @USER1809 @USER2600 @USER2628 Chck out I CAN RAP ! URL216 & the TAKEOVER ! URL214 ...	X X PUNCT X X X X X ADP PRON AUX NOUN PUNCT NOUN CCONJ DET NOUN PUNCT X PUNCT
RT @USER237 : d-town !	X X PUNCT NOUN PUNCT
RT @USER243 : Bruno Mars hates it when cameramen zoom in too close . #CelebsFacts	X X PUNCT PROPN PROPN VERB PRON ADV NOUN NOUN ADP ADV ADJ PUNCT X
RT @USER337 : I just missed the best twitpic opportunity smh .. This nigga was bald all over but had a pony tail of dreads lol <- \ue40b\ue107\ue107\ue107	X X PUNCT PRON ADV VERB DET ADJ NOUN NOUN INTJ PUNCT DET NOUN AUX VERB DET ADV CCONJ VERB DET NOUN NOUN ADP NOUN INTJ X X
RT @USER410 : Staring at a hot guy and thinking ... We are going to make beautiful babies .	X X PUNCT NOUN ADP DET ADJ NOUN CCONJ VERB PUNCT PRON AUX VERB PART VERB ADJ NOUN PUNCT
RT @USER465 : Damn , when u hit your toe on the door you wan na say every cuss word you know	X X PUNCT INTJ PUNCT ADV PRON VERB PRON NOUN ADP DET NOUN PRON VERB PART VERB DET NOUN NOUN PRON VERB
RT @USER521 : \ Do what you can , with what you have , where you are . \ - Theodore Roosevelt	X X PUNCT PUNCT AUX PRON PRON AUX PUNCT ADP PRON PRON VERB PUNCT ADV PRON VERB PUNCT PUNCT PUNCT X X
RT @USER887 : when in a relationship You need to understand the other person feelings besides yours .	X X PUNCT ADV ADP DET NOUN PRON VERB PART VERB DET ADJ NOUN NOUN NOUN PRON PUNCT
RT @USER951 : Just seen one of my favorite people @USER1297 ... I love her I swear . Muah ! ** awwyyy ! Me heart yu 4x more loveeee !	X X PUNCT ADV VERB NUM ADP PRON NOUN NOUN NOUN PUNCT PRON VERB PRON PRON VERB PUNCT NOUN PUNCT PUNCT NOUN PUNCT PRON NOUN PRON VERB ADV NOUN PUNCT
RT @USER1119 : I wish someone would have told me that it 's okay to cry over nothing and everything for a little while . #HuggiesMom	X X PUNCT PRON VERB PRON AUX VERB VERB PRON SCONJ PRON AUX ADJ PART VERB ADP PRON CCONJ PRON ADP DET ADJ NOUN PUNCT X
RT @USER1135 : Billionaires / CEOs throwing massive $$$ into front Orgs since Citizens United . They plan to BUY America Gov't in 201 ...	X X PUNCT NOUN PUNCT VERB VERB ADJ NOUN ADP NOUN NOUN ADP PROPN PROPN PUNCT PRON VERB ADP VERB PROPN NOUN ADP NOUN PUNCT
RT @USER1191 : I never bought candy bars from those kids on my doorstep so I guess they \u2019re all in gangs now .	X X PUNCT PRON ADV PRON NOUN NOUN ADP PRON NOUN ADP PRON NOUN ADV PRON VERB PRON VERB DET ADP NOUN ADV PUNCT
RT @USER1226 : @USER1642 lol you know i m down like 4 flats on a cadillac ... lol wut it do ?? || Haha ! love it	X X PUNCT PROPN INTJ PRON VERB PRON AUX ADV ADP NUM NOUN ADP DET NOUN PUNCT INTJ X PRON VERB PUNCT PROPN INTJ PUNCT VERB PRON
RT @USER1233 : Eat that pussc like cold pizza lol	X X PUNCT VERB PRON NOUN ADP ADJ NOUN INTJ
RT @USER1388 : I rather watch water boil ......	X X PUNCT PRON VERB VERB NOUN NOUN X
